"ediazj","1366751190000","-3.76976118","40.24546644","Parla","Un Bayern demoledor sentencia (a priori) a un Barcelona nulo..."
"andreaa_2906","1366751190000","","","Barcelona","*-* @FranciscodPaula http://t.co/eSNoLmDlOr"
"pancette","1366751190000","2.17817121","41.41241569","Barcelona","@josefajram gracias a ti!! un placer conocerte y gracias a la fotografa tambien!! http://t.co/iPpDtKFEwo"
"mrpalmer_007","1366751190000","-61.18784149","12.91566394","","There's no Barcelona coming back from that, and if they do, I rate them no fuck"
"92zomo","1366751190000","","","Tarragona","la culpa que perdiera el #barça es del #pajaro, k me dijo ante d kempesara k anoxe soño k er barsa perdia por 4-0"
"alexmil921","1366751190000","2.147037","41.393986","Barcelona","#restaurantbcn Tant debò poguèssim fer Mil921 Sant Jordis com aquest!! Salut!! @ Mil921 http://t.co/XCGmY5N0SM"
"Punshline","1366751192000","2.88951081","42.69733918","Perpignan","@Diaamooondz j'vais te buter j'suis pas noir"
"Fixadrim","1366751195000","1.85858257","41.66852257","Sant Vicenç de Castellet","@ManuRiosFdez TIENES QUE CONTESTARME A UNA COSA, URGENTE."
"nfonse","1366751198000","","","Barcelona","que dios me parta si traiciono a un amigo #100frases #elincreible"
"juancho_gcla","1366751198000","2.0830818","41.5580302","Sabadell","""@danibarriero: @AlbertoCuellarr para ti el jarron majo... http://t.co/vV10qz3JTQ"" ajajajajjjaja siwmpre haces que me descojone xddd"
"nostromo555","1366751199000","1.9596565","41.4919761","Castellbisbal","@torrrente tu si k sabes"
"Dunezka_Michell","1366751201000","-80.7001799","8.1245915","","""@ArbitroPANAMA: Disque Alba se pierde el parrido de vuelta por la amarilla, TODO el Barcelona deberia perderse el partido de vuelta"""
"born_ghoulish","1366751201000","7.6492","11.15465","","Ok! But seein u guys lose was funnnnnn ""@barracko8: everyone's amped that Barcelona lost just chilllllllll we had to make it interesting..."""
"FAlbiac","1366751202000","0.5551913","41.2324836","Flix","@isaacvilalta L'unic a aplaudir es que no culpin els arbitres! Jo estic d'acord en tu des del 1r moment!"
"Jordi_44","1366751202000","2.0722487","41.3628991","Cornellà de Llobregat","Jugant a digimons @SARAAY9 @eugenia_lvarez @meritxellmoreno @bocodaina @PaulaSenar @ainstania @truu94"
"elisismo","1366751202000","2.16261474","41.40108679","Barcelona","Bona nit, #SanJordi. Felices roses. @ mi casa http://t.co/iliE7w4p6C"
"ivanchistu","1366751204000","1.97838387","41.28603412","Castelldefels","“@mariaxinxo: @ivanchistu Soy Yordi!!!” 😂😂😂😂😂😂😂😂😂 #mhasmatat"
"SauLiCo14","1366751204000","","","Zaragoza","la gente se riee del 4-0 al barcelona,, solo decir qe si el bayer coge a su equipo les meteria 4 o mas... #PandaDePayasos"
"cr_arjona","1366751205000","","","Torrelavit","Cómo me gustan las noches del martes....#LosSimpson en Neox hasta las 12. Olé y olé"
"_verodLeon","1366751205000","","","Tamaulipas","@Johnny7Life es un grande! equipo que le gana asi al barcelona, se merece mis respetos."
"thefreshhprat","1366751207000","2.09169235","41.32264728","El Prat de Llobregat","@HBOboxing @martinmurraybox 25"
"paikinho","1366751207000","0.62044559","41.62255446","Lérida","Bé, serà la lliga més trista de la història"
"_porai","1366751207000","-38.49147244","-3.72650811","Fortaleza","“@MiltonNeves: O Mogi Mirim joga mais do que esse Barcelona de hj que mais me pareceu um Quissamã da Catalunha...”"
"PapuEdelp","1366751208000","-57.9686934","-34.9314242","","Como te quedo el ojo barcelona? 4 a 0 ya pareces @facu_fortunato"
"JANNEofficial","1366751208000","-79.3428947","43.7342869","Toronto","Germany beat Barcelona 4-0! Holla"
"diananoya8","1366751210000","2.58594984","41.58811542","Canet de Mar","@glo1985 ho dius pels de London, no?"
"marcriudoms","1366751210000","1.0581974","41.1365153","Riudoms","""És moment de fer autocrítica. Jordi Grau, al carrer."""
"miricabello","1366751211000","2.22756243","41.4370454","Badalona","Ya voy necesitando una escapada...😱"
"winni_cr","1366751211000","1.8915676","41.5419702","Olesa de Montserrat","Una novia o una esclava ?""@EnmanuelFranco1: Uno novia que te ayude hacer la tarea *__*"""
"andreaouttatime","1366751212000","2.3513782","41.5031952","Premià de Dalt","Detective Ayala &gt;&gt;&gt;&gt;&gt;&gt;&gt;."
"ThoPa81","1366751213000","1.96238028","41.26617497","Castelldefels","Betthupferl @ Best Western Hotel Mediterraneo http://t.co/vf0VlMIBsL"
"varol_ouz","1366751213000","29.8109429","40.751916","Türkiye","Barcelona temiz koydular. Pic kurulari daha beter olsun...6-0 olmadığına dua etsin ilk yarıda verilmeyen elden penaltilari görmedi hakemlerr"
"Pav81","1366751213000","-2.13920939","52.56669974","Wolverhampton","“@indykaila: #Barcelona FC the best club side we ever seen in football. Please shown some respect.” Very true. 2011 final forgotten by many"
"sertacegemen","1366751214000","","","Türkiye","Barcelona bu maçın rovansini anca google translateden çevirir"
"AmelTwist","1366751214000","3.02839869","42.74063103","Torreilles","Le pere de john il est mort .. 😭😭"
"NaKiSeRGi","1366751215000","1.24749659","41.28188984","Valls","@VictorMartinnez el q han xutat els defenses xò de futbol en saps més tu...o de twirling bahaha"
"Suman9469","1366751218000","24.92938","60.161576","Helsinki","FC Bayern München - FC Barcelona 4-0. Possession: 37%-63%. Shots: 10(7)-3(1). Corners: 11-4. http://t.co/x8cwZLDgxP"
"QuimBonet","1366751218000","2.1413426","41.39231989","Barcelona","@MartaXicue sí sí. Era per destensar."
"Adriansalazar_4","1366751218000","2.0842974","41.56814555","Sabadell","@RocioMorante @josefajram Muchas gracias por este Sant Jordi. Te quiero xiki http://t.co/xzX4D6bmFJ"
"bastyrap1","1366751219000","","","Chile","El Bayern se adelanta a la historia y vence al Barcelona. Con 4 goles sin respuesta está a un paso de la Gran Final."
"BieberGirl6411","1366751219000","2.20252896","41.46291892","Santa Coloma de Gramenet","Pues el tatuaje ese de justin , yo veo a la chica esta del pozo de la película de miedo"
"AdriansyahLaya","1366751221000","106.84368158","-6.19622789","Menteng","@meidyekaaa tapi apapun yg terjadi. Tetap barcelona yg di hati. #catetdeh"
"OzgunEren","1366751222000","","","Türkiye","barcelona : goldemi yemiğak"
"Victorvergara11","1366751222000","","","Cataluña","SI AMA EL FUTBOL ES PERFECTA."
"marbasile416","1366751224000","3.1193263","41.8849352","Vall-llobrega","@AriannaMoral tens tota la raó del mon al dir-me que no, debfet estava esperant a que algú em portes la contrària hahahaha"
"Its_Javyy","1366751225000","-95.24730097","30.0514711","Southeast Montgomery","And then i come home to my Barcelona losing 3-0😣"
"gbg100","1366751226000","1.10012067","41.18424614","Castellvell del Camp","@lidiaa2796 :)"
"markfm167","1366751228000","-3.6488733","40.4473328","Madrid","@yanelarmarca qué contento estoy lo siento por Iniesta pero el Barcelona no pasa haber si mañana el Madrid da la talla"
"Call_me_kenshi","1366751230000","3.3741392","6.6150281","","Barcelona ooooooo"
"LukeeyNeale","1366751233000","-2.21189581","51.87358139","Gloucester","“@ImShakeyJake: @LukeeyNeale Barcelona bit shit today hey lukey boy” I'm not a Barca fan you idiot. And 2. United played well tonight.. Oh."
"YTI_ADUY","1366751235000","106.741034","-6.34419951","Pamulang","Udah bu mau tidur nih :p""@IntanNathalie: Amasya? Haha RT @YTI_ADUY: Eleh menang tetep BARCELONA !!!!"""
"albertn_","1366751235000","2.2470966","41.5491093","Montmeló","Eso si, dejame así. Muchas gracias."
"alexmontes18","1366751236000","2.79773751","41.97809705","Salt","@Soncerv para que os metan 4 mas??"
"MackFontalvo","1366751236000","-74.75584","10.79046","","""@el_viejopaulino: No todo es tan malo, me informan que el Barcelona sigue teniendo la posesión de balón en el vestidor."""
"jessmg_z","1366751236000","2.07847786","41.34751377","El Prat de Llobregat","De cena con las tolis!!!! @DesireeMegias @judit2288 http://t.co/eYtp7LgP2P"
"Val_Dim","1366751237000","8.60106332","7.58578181","","Boss, they're not invisible! RT @DeleMomodu: I don't understand, how can Barcelona suffer such humiliation! http://t.co/hfG9BQDn6C"
"NicolChristie10","1366751237000","-2.30963428","57.15865083","Aberdeenshire","You rarely see when you look at the scores that Barcelona got beat 4-0"
"arnau_castells","1366751237000","1.6834772","41.5311775","Capellades","En aquest tipus d partit ens hagues anat molt be jugadors com bojan i hleb #esport3"
"lekesigoz","1366751239000","28.98154465","41.03818533","Türkiye","Barcelona Büyük Şehirbelediye :))"
"bieberperfect98","1366751239000","2.01865234","41.41191535","Molins de Rei","@lidiapinck danger?? :)"
"RaulPaje","1366751244000","2.08298572","41.35946918","Cornellà de Llobregat","@raulmumo @pablobecerril81 jajajajajajajajajajjajajajajajaja mañana no, son los lunes solo!!! Que penita..."
"LoganPastore","1366751245000","2.09850546","41.42301136","Barcelone","Vaut mieux être Logan que mal accompagne !"
"eduburgstaller","1366751245000","-88.17931398","43.03703435","Waukesha","mi jefe es fanatico enfermo del Barcelona... kore justo que le queria llamar a pedir un aumento..."
"guilherme_coba","1366751246000","-51.51521164","-29.16595066","Bento Gonçalves","rt @bayern saugen Sie mich Barcelona"
"LAPdirectioner","1366751250000","2.203331","41.5477785","Mollet del Vallès","@ElenaUrdi1D_97 @HelenaMJJ97 lo de malinterpretar la mariposa xd"
"mtascon","1366751250000","","","Barcelona","❤ Gracias a todos por este día del libro tan especial."
"BoboSkillz","1366751251000","3.3533338","6.485194","","Barcelona, still a great side though.....the greatest in recent history."
"manuelperfct","1366751253000","-64.66402308","10.19553608","","Si Messi no se activa, el Barcelona no se activa. Esa es la realidad del #fcb"
"katalinpetit","1366751254000","","","Moskau","Rest In Peace, FC Barcelona!
ahahaha
#Bayern http://t.co/lNok2fNkNF"
"canarev","1366751254000","2.16996074","41.38702409","Barcelona","#stjordibcn #joxtu #tv3 @ Plaça de Catalunya http://t.co/4H4cCWVjCX"
"mireeyi","1366751254000","2.1492345","41.4241614","Barcelona","El miedo tiene que ser no tenerlo porque nada importa lo suficiente y al final acaba siendo algo asi como: temo, luego existo."
"alfo_94","1366751255000","2.2180967","41.4505286","Santa Coloma de Gramenet","Bff que apalanque..."
"LoganPastore","1366751256000","2.09850704","41.42300817","Barcelone","Je suis le boss des négociation !"
"xeniaorti_","1366751257000","","","Tarragona","4limentaci0"
